Dataset,Dimension,Annotator Pair,Spearman Correlation,Spearman P-value
RPG,advice_giving,"('expert1', 'expert2')",0.79,0.000
RPG,demonstrating_understanding,"('expert1', 'expert2')",0.58,0.000
RPG,dismissing_emotions,"('expert1', 'expert2')",0.48,0.000
Empathetic Dialogues,empathy,"('expert1', 'expert2')",0.63,0.000
RPG,encouraging_elaboration,"('expert1', 'expert2')",0.76,0.000
Empathetic Dialogues,fluency,"('expert1', 'expert2')",0.25,0.082
EPITOME,level_emotional_reactions,"('expert1', 'expert2')",0.41,0.003
EPITOME,level_explorations,"('expert1', 'expert2')",0.82,0.000
EPITOME,level_interpretations,"('expert1', 'expert2')",0.41,0.003
Perceived Empathy,m_accepted,"('expert1', 'expert2')",0.47,0.001
Perceived Empathy,m_affirmed,"('expert1', 'expert2')",0.53,0.000
Perceived Empathy,m_caredfor,"('expert1', 'expert2')",0.55,0.000
Perceived Empathy,m_emotional,"('expert1', 'expert2')",0.73,0.000
Perceived Empathy,m_motivation,"('expert1', 'expert2')",0.77,0.000
Perceived Empathy,m_practical,"('expert1', 'expert2')",0.77,0.000
Perceived Empathy,m_seen,"('expert1', 'expert2')",0.54,0.000
Perceived Empathy,m_understood,"('expert1', 'expert2')",0.62,0.000
Perceived Empathy,m_validated,"('expert1', 'expert2')",0.59,0.000
Empathetic Dialogues,relevance,"('expert1', 'expert2')",0.23,0.109
RPG,self_oriented,"('expert1', 'expert2')",0.85,0.000
RPG,validating_emotions,"('expert1', 'expert2')",0.48,0.000
RPG,advice_giving,"('expert2', 'expert3')",0.76,0.000
RPG,demonstrating_understanding,"('expert2', 'expert3')",0.46,0.001
RPG,dismissing_emotions,"('expert2', 'expert3')",0.41,0.003
Empathetic Dialogues,empathy,"('expert2', 'expert3')",0.55,0.000
RPG,encouraging_elaboration,"('expert2', 'expert3')",0.74,0.000
Empathetic Dialogues,fluency,"('expert2', 'expert3')",0.03,0.825
EPITOME,level_emotional_reactions,"('expert2', 'expert3')",0.67,0.000
EPITOME,level_explorations,"('expert2', 'expert3')",0.81,0.000
EPITOME,level_interpretations,"('expert2', 'expert3')",0.64,0.000
Perceived Empathy,m_accepted,"('expert2', 'expert3')",0.62,0.000
Perceived Empathy,m_affirmed,"('expert2', 'expert3')",0.68,0.000
Perceived Empathy,m_caredfor,"('expert2', 'expert3')",0.70,0.000
Perceived Empathy,m_emotional,"('expert2', 'expert3')",0.68,0.000
Perceived Empathy,m_motivation,"('expert2', 'expert3')",0.77,0.000
Perceived Empathy,m_practical,"('expert2', 'expert3')",0.70,0.000
Perceived Empathy,m_seen,"('expert2', 'expert3')",0.69,0.000
Perceived Empathy,m_understood,"('expert2', 'expert3')",0.68,0.000
Perceived Empathy,m_validated,"('expert2', 'expert3')",0.73,0.000
Empathetic Dialogues,relevance,"('expert2', 'expert3')",0.37,0.008
RPG,self_oriented,"('expert2', 'expert3')",0.53,0.000
RPG,validating_emotions,"('expert2', 'expert3')",0.59,0.000
RPG,advice_giving,"('expert3', 'expert1')",0.61,0.000
RPG,demonstrating_understanding,"('expert3', 'expert1')",0.28,0.052
RPG,dismissing_emotions,"('expert3', 'expert1')",0.45,0.001
Empathetic Dialogues,empathy,"('expert3', 'expert1')",0.59,0.000
RPG,encouraging_elaboration,"('expert3', 'expert1')",0.74,0.000
Empathetic Dialogues,fluency,"('expert3', 'expert1')",0.44,0.001
EPITOME,level_emotional_reactions,"('expert3', 'expert1')",0.60,0.000
EPITOME,level_explorations,"('expert3', 'expert1')",0.66,0.000
EPITOME,level_interpretations,"('expert3', 'expert1')",0.44,0.001
Perceived Empathy,m_accepted,"('expert3', 'expert1')",0.60,0.000
Perceived Empathy,m_affirmed,"('expert3', 'expert1')",0.59,0.000
Perceived Empathy,m_caredfor,"('expert3', 'expert1')",0.50,0.000
Perceived Empathy,m_emotional,"('expert3', 'expert1')",0.72,0.000
